Country,GDP
Qatar,"$128,647"
Macao,"$115,367"
Luxembourg,"$107,641"
Singapore,"$94,105"
Brunei ,"$79,003"
Ireland,"$76,745"
United Arab Emirates,"$74,035"
Kuwait,"$72,096"
Switzerland,"$66,307"
San Marino,"$63,549"
Norway,"$62,183"
Hong Kong,"$61,671"
United States,"$59,928"
Iceland,"$55,322"
Netherlands,"$54,422"
Denmark,"$54,356"
Saudi Arabia,"$53,893"
Austria,"$53,879"
Germany,"$52,556"
Sweden,"$51,405"
Australia,"$49,378"
Belgium,"$49,367"
Bahrain,"$47,708"
Canada,"$46,510"
Finland,"$46,344"
United Kingdom,"$44,920"
France,"$44,033"
Japan,"$42,067"
Oman,"$41,331"
Italy,"$40,924"
Malta,"$40,797"
New Zealand,"$40,748"
Aruba,"$39,493"
Spain,"$39,037"
Israel,"$38,868"
South Korea,"$38,824"
Czech Republic (Czechia),"$38,020"
Slovenia,"$36,387"
Cyprus,"$36,012"
Estonia,"$33,448"
Lithuania,"$33,253"
Portugal,"$32,554"
Slovakia,"$32,371"
Trinidad and Tobago,"$31,645"
Bahamas,"$30,495"
Poland,"$29,924"
Malaysia,"$29,511"
Seychelles,"$29,328"
Hungary,"$28,799"
Saint Kitts & Nevis,"$28,636"
Greece,"$28,583"
Latvia,"$28,362"
Turkey,"$28,002"
Romania,"$26,660"
Kazakhstan,"$26,491"
Croatia,"$26,296"
Russia,"$25,763"
Chile,"$24,747"
Panama,"$24,521"
Equatorial Guinea,"$24,439"
Antigua and Barbuda,"$23,522"
Uruguay,"$22,610"
Mauritius,"$22,356"
Bulgaria,"$20,948"
Iran,"$20,885"
Argentina,"$20,829"
Libya,"$19,673"
Montenegro,"$19,355"
Belarus,"$18,896"
Mexico,"$18,656"
Barbados,"$18,559"
Gabon,"$18,113"
Turkmenistan,"$18,031"
Thailand,"$17,910"
Azerbaijan,"$17,450"
Costa Rica,"$17,110"
Botswana,"$17,024"
Iraq,"$16,935"
China,"$16,842"
Maldives,"$16,688"
Dominican Republic,"$16,064"
Brazil,"$15,553"
Serbia,"$15,432"
Algeria,"$15,293"
North Macedonia,"$15,290"
Suriname,"$15,191"
Grenada,"$15,156"
Palau,"$14,854"
Lebanon,"$14,513"
Colombia,"$14,503"
Saint Lucia,"$13,986"
South Africa,"$13,526"
Peru,"$13,463"
Paraguay,"$13,109"
Bosnia and Herzegovina,"$13,108"
Mongolia,"$12,946"
Albania,"$12,943"
Sri Lanka,"$12,863"
Indonesia,"$12,310"
Tunisia,"$11,936"
St. Vincent & Grenadines,"$11,769"
Ecuador,"$11,612"
Egypt,"$11,608"
Georgia,"$10,674"
Namibia,"$10,471"
Dominica,"$10,037"
Armenia,"$9,668"
Fiji,"$9,575"
Bhutan,"$9,392"
Jordan,"$9,173"
Jamaica,"$9,066"
Ukraine,"$8,699"
Eswatini,"$8,659"
Belize,"$8,525"
Philippines,"$8,361"
Morocco,"$8,225"
Guyana,"$8,180"
Guatemala,"$8,168"
El Salvador,"$8,023"
Bolivia,"$7,576"
Timor-Leste,"$7,228"
India,"$7,166"
Laos,"$7,038"
Cabo Verde,"$6,913"
Uzbekistan,"$6,880"
Vietnam,"$6,790"
Angola,"$6,658"
Samoa,"$6,641"
Myanmar,"$6,174"
Tonga,"$5,969"
Nigeria,"$5,887"
Nicaragua,"$5,855"
Moldova,"$5,711"
Pakistan,"$5,539"
Congo,"$5,454"
Honduras,"$4,997"
Sudan,"$4,914"
State of Palestine,"$4,896"
Ghana,"$4,502"
Marshall Islands,"$4,247"
Papua New Guinea,"$4,208"
Zambia,"$4,033"
Cambodia,"$4,018"
Mauritania,"$3,958"
C̫te d'Ivoire,"$3,945"
Tuvalu,"$3,933"
Bangladesh,"$3,877"
Kyrgyzstan,"$3,735"
Cameroon,"$3,722"
Micronesia,"$3,701"
Senegal,"$3,458"
Sao Tome & Principe,"$3,359"
Kenya,"$3,292"
Vanuatu,"$3,215"
Tajikistan,"$3,202"
Tanzania,"$2,948"
Lesotho,"$2,932"
Comoros,"$2,751"
Nepal,"$2,702"
Yemen,"$2,606"
Zimbabwe,"$2,434"
Solomon Islands,"$2,427"
Benin,"$2,276"
Guinea,"$2,247"
Mali,"$2,218"
Kiribati,"$2,185"
Rwanda,"$2,043"
Afghanistan,"$1,976"
Chad,"$1,945"
Ethiopia,"$1,903"
Uganda,"$1,868"
Burkina Faso,"$1,866"
Haiti,"$1,819"
Guinea-Bissau,"$1,704"
Gambia,"$1,699"
Togo,"$1,663"
Madagascar,"$1,558"
Sierra Leone,"$1,530"
Liberia,"$1,285"
Mozambique,"$1,250"
Malawi,"$1,205"
Niger,"$1,019"
DR Congo,$889
Burundi,$735
Central African Republic,$727
American Samoa,0
Cuba,0
Northern Mariana Islands,0
Andorra,0
Guam,0
